nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.65625,1,0,0.000000,0,7,31.784,FF,0,0,516476,31.418,13662.984375
0,16025.828125,1,0,0.000000,0,7,26.142,FF,0,0,406048,25.848,13663.21875
0,16025.671875,1,0,0.000000,0,7,18.636,FF,0,0,298124,18.423,13662.96875
0,16025.765625,1,0,0.000000,0,7,47.483,FF,0,0,776590,46.967,13663.15625
0,16025.625,1,0,0.000000,0,7,33.26,FF,0,0,556052,32.898,13663.046875
0,16025.75,1,0,0.000000,0,7,18.661,FF,0,0,312251,18.435,13663.171875
0,16025.78125,1,0,0.000000,0,7,59.215,FF,0,0,972489,58.558,13663.15625
0,16026.078125,1,0,0.000000,0,7,13.842,FF,0,0,232130,13.677,13663.1875
0,16025.6875,1,0,0.000000,0,7,21.606,FF,0,0,356179,21.369,13663.046875
0,16025.78125,1,0,0.000000,0,7,27.969,FF,0,0,466604,27.659,13663.140625
0,16026.09375,1,0,0.000000,0,7,17.667,FF,0,0,282706,17.47,13663.109375
0,16025.78125,1,0,0.000000,0,7,19.806,FF,0,0,310149,19.583,13663.140625
0,16025.8125,1,0,0.000000,0,7,62.285,FF,0,7,1000000,61.638,13663.171875
0,16026.078125,1,0,0.000000,0,7,11.116,FF,0,0,177726,10.991,13663.21875
0,16025.65625,1,0,0.000000,0,7,45.368,FF,0,0,738522,44.886,13667.046875
0,16025.65625,1,0,0.000000,0,7,42.821,FF,0,0,664073,42.371,13663.015625
0,15914.40625,1,0,0.000000,0,7,30.075,FF,0,0,502039,29.732,13615.921875
0,15914.578125,1,0,0.000000,0,7,13.078,FF,0,0,214154,12.926,13616.15625
0,15914.40625,1,0,0.000000,0,7,15.1,FF,0,0,254041,14.925,13615.921875
0,15914.453125,1,0,0.000000,0,7,16.191,FF,0,0,272638,16.009,13615.9375
0,15914.5,1,0,0.000000,0,7,43.504,FF,0,0,732139,43.04,13615.765625
0,15914.359375,1,0,0.000000,0,7,10.298,FF,0,0,172317,10.172,13619.84375
0,15914.640625,1,0,0.000000,0,7,60.793,FF,0,4,1000000,60.116,13616.0625
0,15914.515625,1,0,0.000000,0,7,13.69,FF,0,0,228050,13.532,13616.125
0,15914.59375,1,0,0.000000,0,7,50.348,FF,0,0,819095,49.807,13616.140625
0,15914.59375,1,0,0.000000,0,7,60.65,FF,0,5,1000000,60.011,13615.796875
0,15914.453125,1,0,0.000000,0,7,14.64,FF,0,0,244262,14.465,13615.625
0,15914.546875,1,0,0.000000,0,7,26.1,FF,0,0,432251,25.817,13616.0625
0,15914.46875,1,0,0.000000,0,7,12.022,FF,0,0,194328,11.886,13615.953125
0,15914.6875,1,0,0.000000,0,7,20.42,FF,0,0,324094,20.2,13616.15625
0,15914.703125,1,0,0.000000,0,7,23.663,FF,0,0,390381,23.404,13616.1875
0,15914.5625,1,0,0.000000,0,7,61.894,FF,0,5,1000000,61.212,13616.046875
0,15914.5625,1,0,0.000000,0,7,54.318,FF,0,0,870515,53.722,13615.765625
0,15914.5,1,0,0.000000,0,7,25.269,FF,0,0,418975,24.976,13616.015625
0,15914.625,1,0,0.000000,0,7,21.796,FF,0,0,348299,21.555,13616.046875
0,15914.421875,1,0,0.000000,0,7,15.945,FF,0,0,262137,15.759,13615.84375
0,15914.578125,1,0,0.000000,0,7,32.843,FF,0,0,540143,32.449,13616.0625
0,15914.828125,1,0,0.000000,0,7,18.941,FF,0,0,308337,18.723,13616.34375
0,15914.625,1,0,0.000000,0,7,41.438,FF,0,0,672815,40.987,13619.890625
0,15914.875,1,0,0.000000,0,7,36.738,FF,0,0,590313,36.342,13616.359375
0,15914.703125,1,0,0.000000,0,7,62.143,FF,0,5,1000000,61.483,13616.1875
0,15914.4375,1,0,0.000000,0,7,37.994,FF,0,0,612447,37.581,13619.984375
0,15914.53125,1,0,0.000000,0,7,20.74,FF,0,0,336433,20.496,13616.046875
0,15914.578125,1,0,0.000000,0,7,39.337,FF,0,0,650289,38.889,13619.875
0,15914.359375,1,0,0.000000,0,7,61.18,FF,0,7,1000000,60.511,13615.90625
0,15914.65625,1,0,0.000000,0,7,54.736,FF,0,0,910130,54.155,13616.140625
0,15914.21875,1,0,0.000000,0,7,62.346,FF,0,9,1000000,61.664,13615.703125
0,15914.390625,1,0,0.000000,0,7,12.848,FF,0,0,204507,12.697,13616.0
0,15914.640625,1,0,0.000000,0,7,32.018,FF,0,0,539914,31.643,13615.875
0,15914.671875,1,0,0.000000,0,7,24.392,FF,0,0,414101,24.122,13616.1875
